timestamp             packet_counter    temperature_C     humidity_percent    pressure_hPa   
---------------------------------------------------------------------------------------------
2026-05-21 15:26:07   15                21.69             60.76               998.37         
2026-05-21 15:26:37   30                21.75             61.40               998.39         
2026-05-21 15:28:06   11                21.70             61.77               998.42         
2026-05-21 15:32:17   15                21.74             60.12               998.38         
2026-05-21 15:32:47   30                21.64             59.98               998.52         
2026-05-21 15:33:17   45                21.66             62.54               998.39         
2026-05-21 15:34:19   21                21.72             60.19               998.40         
2026-05-21 15:34:49   36                21.77             59.87               998.36         
2026-05-21 15:38:12   137               21.67             60.30               998.39         
2026-05-21 15:40:05   3                 21.80             60.30               998.43         
2026-05-21 15:40:35   18                21.78             60.40               998.43         
2026-05-21 15:41:05   33                21.82             60.42               998.40         
2026-05-21 15:51:08   232               27.35             52.10               998.29         
2026-05-21 15:51:38   247               27.60             52.90               998.38         
2026-05-21 15:52:08   262               27.21             45.38               998.32         
2026-05-21 15:52:38   277               25.33             48.07               998.37         
2026-05-21 15:53:08   292               24.19             51.08               998.39         
2026-05-21 15:53:38   307               23.37             53.41               998.49         
2026-05-21 15:54:08   322               22.73             55.25               998.41         
2026-05-21 15:54:38   337               22.26             56.62               998.41         
[2026-05-21 16:01:28] Packet: 3 | Temp: 21.30 C | Humi: 61.92 % | Pres: 998.36 hPa
[2026-05-21 16:01:29] Packet: 4 | Temp: 21.35 C | Humi: 61.82 % | Pres: 998.36 hPa
[2026-05-21 16:01:31] Packet: 5 | Temp: 21.40 C | Humi: 61.60 % | Pres: 998.35 hPa
[2026-05-21 16:01:33] Packet: 6 | Temp: 21.44 C | Humi: 61.65 % | Pres: 998.27 hPa
[2026-05-21 16:01:35] Packet: 7 | Temp: 21.48 C | Humi: 61.54 % | Pres: 998.33 hPa
[2026-05-21 16:01:37] Packet: 8 | Temp: 21.50 C | Humi: 61.24 % | Pres: 998.32 hPa
[2026-05-21 16:01:39] Packet: 9 | Temp: 21.55 C | Humi: 61.27 % | Pres: 998.29 hPa
[2026-05-21 16:01:41] Packet: 10 | Temp: 21.58 C | Humi: 61.16 % | Pres: 998.33 hPa
[2026-05-21 16:01:43] Packet: 11 | Temp: 21.60 C | Humi: 61.71 % | Pres: 998.28 hPa
[2026-05-21 16:01:45] Packet: 12 | Temp: 21.64 C | Humi: 61.66 % | Pres: 998.31 hPa
[2026-05-21 16:01:47] Packet: 13 | Temp: 21.68 C | Humi: 61.71 % | Pres: 998.29 hPa
[2026-05-21 16:01:49] Packet: 14 | Temp: 21.71 C | Humi: 61.62 % | Pres: 998.28 hPa
[2026-05-21 16:01:51] Packet: 15 | Temp: 21.74 C | Humi: 61.46 % | Pres: 998.29 hPa
[2026-05-21 16:01:53] Packet: 16 | Temp: 21.76 C | Humi: 61.61 % | Pres: 998.28 hPa
[2026-05-21 16:01:55] Packet: 17 | Temp: 21.79 C | Humi: 61.91 % | Pres: 998.32 hPa
[2026-05-21 16:01:57] Packet: 18 | Temp: 21.93 C | Humi: 62.59 % | Pres: 998.33 hPa
[2026-05-21 16:01:59] Packet: 19 | Temp: 22.10 C | Humi: 62.63 % | Pres: 998.32 hPa
[2026-05-21 16:02:01] Packet: 20 | Temp: 22.27 C | Humi: 62.38 % | Pres: 998.29 hPa
[2026-05-21 16:02:03] Packet: 21 | Temp: 22.46 C | Humi: 62.27 % | Pres: 998.32 hPa
[2026-05-21 16:02:05] Packet: 22 | Temp: 22.61 C | Humi: 61.84 % | Pres: 998.32 hPa
[2026-05-21 16:02:07] Packet: 23 | Temp: 22.76 C | Humi: 61.55 % | Pres: 998.27 hPa
[2026-05-21 16:02:09] Packet: 24 | Temp: 22.87 C | Humi: 59.64 % | Pres: 998.30 hPa
[2026-05-21 16:02:11] Packet: 25 | Temp: 22.91 C | Humi: 58.60 % | Pres: 998.30 hPa
[2026-05-21 16:02:13] Packet: 26 | Temp: 22.91 C | Humi: 58.11 % | Pres: 998.34 hPa
[2026-05-21 16:02:15] Packet: 27 | Temp: 22.90 C | Humi: 57.67 % | Pres: 998.32 hPa
[2026-05-21 16:02:17] Packet: 28 | Temp: 22.88 C | Humi: 57.53 % | Pres: 998.33 hPa
[2026-05-21 16:02:19] Packet: 29 | Temp: 22.87 C | Humi: 57.51 % | Pres: 998.33 hPa
[2026-05-21 16:02:21] Packet: 30 | Temp: 22.85 C | Humi: 57.53 % | Pres: 998.34 hPa
[2026-05-21 16:02:23] Packet: 31 | Temp: 22.82 C | Humi: 57.39 % | Pres: 998.32 hPa
[2026-05-21 16:02:25] Packet: 32 | Temp: 22.84 C | Humi: 57.66 % | Pres: 998.35 hPa
[2026-05-21 16:02:27] Packet: 33 | Temp: 22.80 C | Humi: 58.86 % | Pres: 998.31 hPa
[2026-05-21 16:02:29] Packet: 34 | Temp: 22.87 C | Humi: 60.08 % | Pres: 998.35 hPa
[2026-05-21 16:02:31] Packet: 35 | Temp: 22.87 C | Humi: 58.94 % | Pres: 998.34 hPa
[2026-05-21 16:02:33] Packet: 36 | Temp: 22.86 C | Humi: 58.41 % | Pres: 998.28 hPa
[2026-05-21 16:02:35] Packet: 37 | Temp: 22.72 C | Humi: 59.50 % | Pres: 998.13 hPa
[2026-05-21 16:02:37] Packet: 38 | Temp: 22.84 C | Humi: 60.66 % | Pres: 998.36 hPa
[2026-05-21 16:02:39] Packet: 39 | Temp: 22.89 C | Humi: 62.18 % | Pres: 998.39 hPa
[2026-05-21 16:02:41] Packet: 40 | Temp: 22.91 C | Humi: 61.73 % | Pres: 998.33 hPa
[2026-05-21 16:02:43] Packet: 41 | Temp: 22.36 C | Humi: 61.25 % | Pres: 997.52 hPa
[2026-05-21 16:02:45] Packet: 42 | Temp: 22.90 C | Humi: 62.80 % | Pres: 998.45 hPa
[2026-05-21 16:02:47] Packet: 43 | Temp: 22.43 C | Humi: 62.11 % | Pres: 997.40 hPa
[2026-05-21 16:02:49] Packet: 44 | Temp: 23.10 C | Humi: 61.04 % | Pres: 998.30 hPa
[2026-05-21 16:02:51] Packet: 45 | Temp: 23.13 C | Humi: 60.40 % | Pres: 998.32 hPa
[2026-05-21 16:02:53] Packet: 46 | Temp: 21.63 C | Humi: 60.96 % | Pres: 995.98 hPa
[2026-05-21 16:02:55] Packet: 47 | Temp: 23.19 C | Humi: 60.89 % | Pres: 998.26 hPa
[2026-05-21 16:03:03] Packet: 1 | Temp: 23.33 C | Humi: 61.55 % | Pres: 998.31 hPa
[2026-05-21 16:03:05] Packet: 2 | Temp: 23.37 C | Humi: 62.31 % | Pres: 998.31 hPa
[2026-05-21 16:03:07] Packet: 3 | Temp: 23.43 C | Humi: 60.65 % | Pres: 998.33 hPa
[2026-05-21 16:03:09] Packet: 4 | Temp: 23.50 C | Humi: 60.89 % | Pres: 998.29 hPa
[2026-05-21 16:03:11] Packet: 5 | Temp: 23.56 C | Humi: 60.58 % | Pres: 998.32 hPa
[2026-05-21 16:03:13] Packet: 6 | Temp: 23.61 C | Humi: 60.42 % | Pres: 998.28 hPa
[2026-05-21 16:03:15] Packet: 7 | Temp: 23.68 C | Humi: 60.24 % | Pres: 998.30 hPa
[2026-05-21 16:03:17] Packet: 8 | Temp: 23.74 C | Humi: 60.65 % | Pres: 998.28 hPa
[2026-05-21 16:03:19] Packet: 9 | Temp: 23.78 C | Humi: 59.51 % | Pres: 998.27 hPa
[2026-05-21 16:03:21] Packet: 10 | Temp: 23.81 C | Humi: 58.46 % | Pres: 998.27 hPa
[2026-05-21 16:03:23] Packet: 11 | Temp: 23.87 C | Humi: 58.58 % | Pres: 998.26 hPa
[2026-05-21 16:03:25] Packet: 12 | Temp: 23.91 C | Humi: 59.36 % | Pres: 998.26 hPa
[2026-05-21 16:03:27] Packet: 13 | Temp: 23.95 C | Humi: 58.40 % | Pres: 998.28 hPa
[2026-05-21 16:03:29] Packet: 14 | Temp: 23.95 C | Humi: 57.02 % | Pres: 998.26 hPa
[2026-05-21 16:03:31] Packet: 15 | Temp: 23.98 C | Humi: 58.04 % | Pres: 998.25 hPa
[2026-05-21 16:03:33] Packet: 16 | Temp: 23.98 C | Humi: 58.28 % | Pres: 998.29 hPa
[2026-05-21 16:03:35] Packet: 17 | Temp: 23.97 C | Humi: 58.01 % | Pres: 998.31 hPa
[2026-05-21 16:03:37] Packet: 18 | Temp: 23.97 C | Humi: 57.79 % | Pres: 998.30 hPa
[2026-05-21 16:03:39] Packet: 19 | Temp: 24.00 C | Humi: 58.34 % | Pres: 998.29 hPa
[2026-05-21 16:03:41] Packet: 20 | Temp: 23.97 C | Humi: 58.07 % | Pres: 998.29 hPa
[2026-05-21 16:03:43] Packet: 21 | Temp: 23.94 C | Humi: 57.60 % | Pres: 998.28 hPa
[2026-05-21 16:03:45] Packet: 22 | Temp: 23.89 C | Humi: 57.57 % | Pres: 998.28 hPa
[2026-05-21 16:03:47] Packet: 23 | Temp: 23.85 C | Humi: 57.48 % | Pres: 998.30 hPa
[2026-05-21 16:03:49] Packet: 24 | Temp: 23.81 C | Humi: 56.80 % | Pres: 998.29 hPa
[2026-05-21 16:03:51] Packet: 25 | Temp: 23.84 C | Humi: 57.33 % | Pres: 998.26 hPa
[2026-05-21 16:03:53] Packet: 26 | Temp: 23.87 C | Humi: 57.21 % | Pres: 998.26 hPa
[2026-05-21 16:03:55] Packet: 27 | Temp: 23.88 C | Humi: 56.40 % | Pres: 998.27 hPa
[2026-05-21 16:03:57] Packet: 28 | Temp: 23.90 C | Humi: 56.60 % | Pres: 998.25 hPa
[2026-05-21 16:03:59] Packet: 29 | Temp: 23.92 C | Humi: 56.28 % | Pres: 998.23 hPa
[2026-05-21 16:04:01] Packet: 30 | Temp: 23.94 C | Humi: 56.32 % | Pres: 998.28 hPa
[2026-05-21 16:04:03] Packet: 31 | Temp: 23.97 C | Humi: 56.84 % | Pres: 998.25 hPa
[2026-05-21 16:04:05] Packet: 32 | Temp: 24.00 C | Humi: 57.63 % | Pres: 998.26 hPa
[2026-05-21 16:04:07] Packet: 33 | Temp: 24.05 C | Humi: 58.42 % | Pres: 998.22 hPa
[2026-05-21 16:04:09] Packet: 34 | Temp: 24.08 C | Humi: 57.83 % | Pres: 998.23 hPa
[2026-05-21 16:04:11] Packet: 35 | Temp: 24.11 C | Humi: 57.47 % | Pres: 998.27 hPa
[2026-05-21 16:04:13] Packet: 36 | Temp: 24.10 C | Humi: 56.26 % | Pres: 998.25 hPa
[2026-05-21 16:04:15] Packet: 37 | Temp: 24.11 C | Humi: 58.02 % | Pres: 998.17 hPa
[2026-05-21 16:04:17] Packet: 38 | Temp: 24.08 C | Humi: 57.74 % | Pres: 998.18 hPa
